M,numKeys,tipo,reads,writes,avg_reads,avg_writes,tempo_total,tempo_cpu,tempo_io,bytes,altura,modo
3,1000000,Seq,20951387,3999941,20.9514,3.99994,18.1931,2.88263,15.3105,35999784,19,cacheado
3,1000000,Seq,20951387,3999941,20.9514,3.99994,27.5564,3.24406,24.3123,35999784,19,restrito
3,1000000,Rand,17793424,3237259,17.7934,3.23726,23.4484,2.76893,20.6795,26850528,17,cacheado
3,1000000,Rand,17793424,3237259,17.7934,3.23726,344.364,3.74302,340.621,26850528,17,restrito
5,1000000,Seq,12968528,2499955,12.9685,2.49995,11.4684,1.89447,9.57393,25999688,12,cacheado
5,1000000,Seq,12968528,2499955,12.9685,2.49995,14.8352,1.9207,12.9145,25999688,12,restrito
5,1000000,Rand,11192657,2106916,11.1927,2.10692,16.9387,2.29639,14.6423,19191276,11,cacheado
5,1000000,Rand,11192657,2106916,11.1927,2.10692,157.63,2.77207,154.857,19191276,11,restrito
10,1000000,Seq,8651344,1749964,8.65134,1.74996,9.17984,1.59576,7.58408,22999540,9,cacheado
10,1000000,Seq,8651344,1749964,8.65134,1.74996,10.067,1.51041,8.55655,22999540,9,restrito
10,1000000,Rand,7277528,1490256,7.27753,1.49026,9.76092,1.41057,8.35034,15042644,7,cacheado
10,1000000,Rand,7277528,1490256,7.27753,1.49026,104.879,1.95189,102.927,15042644,7,restrito
50,1000000,Seq,4294235,1124985,4.29423,1.12498,7.09622,1.58543,5.51078,17166392,5,cacheado
50,1000000,Seq,4294235,1124985,4.29423,1.12498,10.1459,1.40418,8.74174,17166392,5,restrito
50,1000000,Rand,4028553,1088823,4.02855,1.08882,6.61465,1.32757,5.28707,12233928,4,cacheado
50,1000000,Rand,4028553,1088823,4.02855,1.08882,33.7383,1.31409,32.4242,12233928,4,restrito
100,1000000,Seq,3803513,1061213,3.80351,1.06121,4.71111,1.15621,3.5549,16571296,4,cacheado
100,1000000,Seq,3803513,1061213,3.80351,1.06121,8.82944,1.15046,7.67897,16571296,4,restrito
100,1000000,Rand,3586869,1043721,3.58687,1.04372,5.59328,1.27317,4.32011,11903920,4,cacheado
100,1000000,Rand,3586869,1043721,3.58687,1.04372,25.566,1.4753,24.0907,11903920,4,restrito
500,1000000,Seq,2886292,1012042,2.88629,1.01204,5.28178,1.84746,3.43433,16116204,3,cacheado
500,1000000,Seq,2886292,1012042,2.88629,1.01204,5.14617,1.76996,3.37621,16116204,3,restrito
500,1000000,Rand,2851278,1008389,2.85128,1.00839,5.58077,1.8398,3.74098,11562584,3,cacheado
500,1000000,Rand,2851278,1008389,2.85128,1.00839,26.8159,2.01109,24.8048,11562584,3,restrito
1000,1000000,Seq,2504506,1006006,2.50451,1.00601,6.63483,2.81922,3.8156,16064060,3,cacheado
1000,1000000,Seq,2504506,1006006,2.50451,1.00601,8.40189,3.19696,5.20493,16064060,3,restrito
1000,1000000,Rand,2398744,1003958,2.39874,1.00396,7.54105,3.05216,4.48889,11256860,3,cacheado
1000,1000000,Rand,2398744,1003958,2.39874,1.00396,35.0786,3.18192,31.8967,11256860,3,restrito
